Entity,Code,Day,Number of parameters,Domain
Fraternal dropout + AWD-LSTM 3-layer (WT2),,2017-10-31,34000000,Language
Fully Convolutional Networks,,2014-11-14,,Vision
Fusion in Encoder,,2022-11-18,330000000,Language
Fuzzy NN,,1992-09-01,1166,Speech
GAN-Advancer,,2016-12-05,,Vision
GANs,,2014-06-10,,Image generation
GBERT-Large,,2020-10-21,335000000,Language
GCNN-14,,2016-12-23,,Language
GGNN,,2023-08-05,,Biology
GL-LWGC-AWD-MoS-LSTM + dynamic evaluation (WT2),,2017-08-29,38000000,Language
GLEE,,1968-07-01,,Games
GLIDE,,2021-12-20,3500000000,Image generation
GLM-130B,,2022-08-04,130000000000,Language
GLaM,,2021-12-13,1200000000000,Language
GNMT,,2016-09-26,278000000,Language
GOAT,,2021-07-27,3500000,Games
GPT,,2018-06-01,117000000,Language
GPT-2 (1.5B),,2019-02-14,1500000000,Language
GPT-2 (345M),,2019-02-14,,Language
GPT-3 175B (davinci),,2020-05-28,175000000000,Language
GPT-3.5 (text-davinci-003),,2022-11-28,,Language
GPT-4,,2023-03-15,,Multimodal
GPT-4 Turbo,,2023-11-06,,Multimodal
GPT-4V,,2023-09-25,,Multimodal
GPT-NeoX-20B,,2022-02-09,20000000000,Language
GPU DBNs,,2009-06-15,100000000,Other
GPipe (Amoeba),,2018-11-16,557000000,Vision
GPipe (Transformer),,2018-11-16,6000000000,Language
GRUs,,2014-06-03,,Language
GSM,,2017-07-30,,Language
GShard (dense),,2020-06-30,600000000000,Language
Galactica,,2022-11-16,120000000000,Other
Gated HORNN (3rd order),,2016-04-30,8970000,Language
Gato,,2022-05-12,1180000000,Other
Gemini 1 Pro,,2023-12-06,,Multimodal
Gemini Nano-1,,2023-12-19,1800000000,Multimodal
Gemini Nano-2,,2023-12-19,3250000000,Multimodal
Gemini Ultra,,2023-12-06,,Multimodal
Gen-1,,2023-02-06,,Other
Gen-2,,2023-03-20,,Other
GenSLM,,2022-10-11,25000000000,Biology
Generative BST,,2021-03-05,9400000000,Language
Genetic algorithm,,1954-07-02,,Other
German ELECTRA Large,,2020-10-21,335000000,Language
GloVe (32B),,2014-01-01,120000000,Language
GloVe (6B),,2014-01-01,120000000,Language
Go-explore,,2020-04-27,,Games
Goat-7B,,2023-05-23,7000000000,Language
GoogLeNet / InceptionV1,,2015-06-07,6797700,Vision
Gopher (280B),,2021-12-08,280000000000,Language
Gradient Boosting Machine,,2001-10-01,,Other
Graph-based structural reasoning,,1970-09-01,,Vision
Greedy layer-wise DNN training,,2006-12-04,,Other
Grok-1,,2023-11-04,,Language
GroupLens,,1994-10-22,,Other
HMM Word Alignment,,1996-08-05,,Language
HOGWILD!,,2011-11-11,,Other
HRA,,2017-06-13,,Games
Hanabi 4 player,,2019-02-01,764000,Games
Heuristic problem solving for AI,,1961-01-01,,Other
Hiero,,2005-06-01,120000000,Language
Histograms of Oriented Gradients,,2005-06-25,,Vision
Hopfield Networks (2020),,2020-07-16,,Other
Hopfield network,,1982-04-01,9900,Other
HuBERT,,2021-07-27,1000000000,Language
Hybrid H3-2.7B,,2022-12-28,2700000000,Language
HyenaDNA,,2023-06-27,1600000,Biology
HyperCLOVA,,2021-09-10,82000000000,Language
HyperNEAT,,2014-03-05,239712,Games
IBM Model 4,,1999-07-02,,Language
IBM-5,,1993-06-15,1658364,Language
IMPALA,,2018-02-05,1600000,Games
ISS,,2017-09-15,11100000,Language
Image Classification with the Fisher Vector: Theory and Practice,,2013-06-12,,Vision
Image generation,,2013-12-20,,Vision
Image-to-image cGAN,,2016-11-21,,Vision
ImageBind,,2023-05-09,932000000,Multimodal
Imagen,,2022-05-23,3000000000,Image generation
Immediate trihead,,2001-07-06,,Language
Inception v3,,2015-12-02,23626728,Vision
Inception-ResNet-V2,,2016-02-23,56000000,Vision
Inceptionv4,,2016-02-23,43000000,Vision
Incoder-6.7B,,2023-04-09,6700000000,Language
Inflated 3D ConvNet,,2017-06-01,,Other
Inflection-2,,2023-11-22,,Language
Innervator,,1989-01-01,10,Other
InstructBLIP,,2023-05-11,13000000000,Multimodal
InstructGPT,,2022-01-27,175000000000,Language
InternImage,,2022-11-10,1080000000,Vision
InternLM,,2023-07-06,100000000000,Language
Internal functionality of visual invariants,,1979-05-02,,Vision
Iterative Bootstrapping WSD,,1995-06-26,,Language
JFT,,2017-07-10,,Vision
Jais,,2023-08-29,13000000000,Language
KEPLER,,2020-11-23,110000000,Language
KN5 LM + RNN 400/10 (WSJ),,2010-09-26,80000000,Speech
KataGo,,2019-02-27,2500000,Games
Kohonen network,,1981-07-25,4096,Other
LDA,,2003-02-02,,Language
LDM-1.45B,,2021-12-20,1450000000,Image generation
LEP-AD,,2023-03-15,,Biology
LLaMA-13B,,2023-02-27,13000000000,Language
LLaMA-65B,,2023-02-24,65200000000,Language
LLaMA-7B,,2023-02-24,6700000000,Language
LLaVA,,2023-04-17,13000000000,Other
LLaVA 1.5,,2023-11-05,13000000000,Other
LMS,,1960-06-30,,Other
LMSI-Palm,,2022-10-20,540000000000,Language
LRCN,,2014-11-07,142552000,Other
LRSO-GAN,,2017-10-22,,Vision
LSTM,,1997-11-15,10504,Language
LSTM (2018),,2018-03-04,13000000,Language
"LSTM (Hebbian, Cache, MbPA)",,2018-03-27,45200000,Language
LSTM + dynamic eval,,2017-09-21,50000000,Language
LSTM with forget gates,,1999-01-02,276,Language
LSTM+NeuralCache,,2018-09-24,2100000,Language
LSTM-300units,,2012-09-01,12000000,Language
LSTM-Char-Large,,2015-08-26,19000000,Language
LTM-1,,2023-06-06,,Language
LUKE,,2020-10-02,484000000,Language
LaMDA,,2022-02-10,137000000000,Language
LaNet-L (CIFAR-10),,2019-06-17,44100000,Vision
Large regularized LSTM,,2014-09-08,66000000,Language
LeNet-5,,1998-11-01,60000,Vision
Learnability theory of language development,,1984-07-01,,Language
Learning deep architectures,,2009-11-15,,Other
Libratus,,2017-01-01,,Games
"Listen, Attend and Spell",,2015-08-20,,Speech
Llama 2-13B,,2023-07-18,13000000000,Language
Llama 2-34B,,2023-07-18,34000000000,Language
Llama 2-70B,,2023-07-18,70000000000,Language
Llama 2-7B,,2023-07-18,70000000000,Language
Llama Guard,,2023-12-07,7000000000,Language
Local Binary Patterns for facial recognition,,2006-12-01,,Vision
LongT5,,2021-12-15,3000000000,Language
M4-50B,,2019-10-11,50000000000,Language
M6-T,,2021-03-05,1000000000000,Multimodal
MADALINE I,,1962-07-01,,Other
MADALINE III,,1990-09-01,,Other
MCDNN (MNIST),,2012-02-13,1994300,Vision
MEB,,2021-09-04,135000000000,Other
MLP as Bayesian Approximator,,1990-12-01,,Other
MMLSTM,,2019-12-05,75000000,Language
MS-CNN,,2016-09-17,,Vision
MSA Transformer,,2021-02-13,100000000,Biology
"MSRA (C, PReLU)",,2015-02-06,87048800,Vision
MT-DNN,,2019-01-31,330000000,Language
MV-RNN,,2012-07-12,3510255,Language
Make-A-Video,,2022-09-29,,Other
Mamba-24M (SC09),,2023-12-01,23400000,Speech
Mask R-CNN,,2017-03-30,,Vision
MatrixFac for Recommenders,,2009-08-07,,Other
Max-Margin Markov Networks,,2004-03-01,,Other
Maximum Entropy Models for machine translation,,2002-07-06,,Language
Maxout Networks,,2013-02-18,,Vision
MedBERT,,2021-05-20,17000000,Other
Meena,,2020-01-28,2600000000,Language
